ngram,frequency
decidedly,2802969
particularly,59253427
significantly,102
insanely,133
fantastically,4076
awfully,935942
excessively,2027
terrifically,54939
remarkably,4438371
quite,86728196
radically,3058107
amazingly,706413
truly,18995218
markedly,965
strikingly,50908
seriously,256952
surpassingly,46079
colossally,13393
incredibly,1463
totally,13016
acutely,34968
very,373437241
uncommonly,652235
mightily,575919
notably,5958929
intensely,2868709
utterly,6834940
supremely,692105
astoundingly,55828
extremely,102
desperately,2938460
especially,40910
frightfully,271729
exceptionally,2510593
extraordinarily,799
terribly,39984
exceedingly,5245403
outrageously,225120
unusually,3630442
phenomenally,130831
