adverb,count
surpassingly,11156
colossally,11167
immoderately,11273
terrifically,62292
frightfully,65389
astoundingly,73041
inordinately,88639
phenomenally,120769
uncommonly,135747
outrageously,240010
fantastically,250989
mightily,252135
supremely,296134
insanely,359644
strikingly,480417
acutely,493931
awfully,651519
unduly,674618
decidedly,817806
excessively,877280
extraordinarily,900456
exceedingly,977435
immensely,1061341
intensely,1084765
markedly,1213704
amazingly,1384225
radically,1414254
unusually,1583939
cracking,1844789
remarkably,1902493
terribly,1906059
exceptionally,2054231
desperately,2139968
utterly,2507480
notably,3141835
incredibly,4416030
seriously,12570333
super,16902202
truly,19778608
significantly,19939125
totally,20950052
extremely,21862963
highly,36460329
particularly,41066217
quite,55269390
especially,55397873
very,292897993
